,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,4,police,police
4,5,pensais,thought
5,6,aide,help
6,7,genre,kind
7,9,frère,brother
8,10,laisser,let
9,11,car,because
10,12,mettre,to put
11,13,aucun,no
12,14,laisse,leash
13,15,eux,them
14,16,ville,city
15,17,chaque,each
16,18,parlé,speak
17,19,arrivé,come
18,20,devrait,should
19,21,bébé,baby
20,22,longtemps,long time
21,23,heures,hours
22,24,vont,will
23,25,pendant,while
24,26,revoir,meet again
25,27,aucune,any
26,28,place,square
27,29,parle,speak
28,30,compris,understood
29,31,savais,knew
30,33,attention,Warning
31,34,pourrais,could
32,35,affaire,case
33,36,donner,give
34,37,type,type
35,38,leurs,their
36,39,donné,given
37,40,train,train
38,41,endroit,place
39,42,yeux,eyes
40,43,façon,way
41,44,écoute,listen
42,45,dont,whose
43,46,trouve,find
44,47,premier,first
45,48,perdu,lost
46,49,main,hand
47,50,première,first
48,51,côté,side
49,52,pouvoir,power
50,53,vieux,old
51,54,sois,be
52,55,tiens,here
53,56,matin,morning
54,57,tellement,so much
55,58,enfant,child
56,61,pardon,sorry
57,62,venez,come
58,63,devant,in front of
59,64,vers,towards
60,65,minutes,minutes
61,66,demandé,request
62,67,chambre,bedroom
63,68,mis,placed
64,69,belle,beautiful
65,70,droit,law
66,71,aimerais,would like to
67,72,aujourd'hui,today
68,73,mari,husband
69,74,cause,cause
70,75,enfin,finally
71,76,espère,hope
72,77,eau,water
73,78,attendez,Wait
74,79,parti,left
75,80,boulot,job
76,82,dirait,would say
77,84,fin,end
78,85,croire,believe
79,86,gros,large
80,87,plutôt,rather
81,88,aura,will have
82,89,filles,girls
83,90,jouer,to play
84,91,bureau,office
